stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
12,2201,"Market & Family Dollar-1",,35.050430,-85.309610,,,,,,2
17,2164,"Market & 11th 0",,35.043764,-85.309437,,,,,,2
18,3074,"Market & 12TH-1",,35.042069,-85.308932,,,,,,2
19,2204,"Market & Cowart 0",,35.040950,-85.308360,,,,,,2
21,2217,"MARKET + MAIN",,35.036400,-85.307406,,,,,,2
22,2173,"MARKET + 17TH",,35.034560,-85.308250,,,,,,2
23,2175,"MARKET + 19TH",,35.032730,-85.308660,,,,,,2
24,2177,"MARKET + 20TH",,35.031820,-85.308840,,,,,,2
25,2178,"MARKET + 21ST",,35.031100,-85.309030,,,,,,2
26,2206,"MARKET + E 25TH",,35.027140,-85.310800,,,,,,2
38,1373,"Broad & 34th 0",,35.016456,-85.322934,,,,,,2
41,2425,"Tenn Ave & Walgreen's 0",,35.013730,-85.325480,,,,,,2
72,1612,"DORRIS + 5216",,34.989830,-85.315940,,,,,,2
74,1206,"52ND + 524",,34.989790,-85.313000,,,,,,2
95,3,"HALSEY + CENTRAL",,34.989020,-85.319522,,,,,,2
100,2004,"CENTRAL + WORKMANS",,34.998690,-85.313740,,,,,,2
101,1448,"CENTRAL + 45TH",,35.000030,-85.313530,,,,,,2
102,1446,"CENTRAL + 42ND",,35.002060,-85.312440,,,,,,2
103,1445,"CENTRAL + 41ST",,35.003931,-85.311413,,,,,,2
104,1443,"CENTRAL + 38TH",,35.005270,-85.310690,,,,,,2
105,1109,"38TH + HUGHES",,35.005870,-85.311480,,,,,,2
106,1111,"38th & Kirkland-1",,35.006300,-85.312680,,,,,,2
108,1094,"38TH + CHANDLER PLACE",,35.006990,-85.314550,,,,,,2
109,1113,"38TH + OHLS",,35.007680,-85.316380,,,,,,2
110,1100,"38TH + ALTON PK BLVD",,35.008170,-85.317630,,,,,,2
112,2658,"37TH + CALVIN DONALDSON",,35.010160,-85.318790,,,,,,2
113,2659,"PIROLA + 37TH",,35.010560,-85.320330,,,,,,2
114,1114,"PIROLA + 38TH",,35.009360,-85.320990,,,,,,2
115,2314,"PIROLA + POST OFFICE",,35.008440,-85.321520,,,,,,2
116,2660,"40TH + SOUTHSIDE REC",,35.008250,-85.322860,,,,,,2
124,1372,"Broad & 33rd1",,35.017547,-85.322245,,,,,,2
125,1080,"33RD + CHATTEM",,35.017259,-85.321226,,,,,,2
126,2665,"33RD + WILLIAMS",,35.016935,-85.320305,,,,,,2
128,1085,"33RD + TARLTON",,35.016100,-85.317980,,,,,,2
129,2667,"33RD + DELONG",,35.015750,-85.316980,,,,,,2
130,1077,"33RD + ALTON PK BLVD",,35.014846,-85.314409,,,,,,2
132,1228,"ALTON PK BLVD + 31ST",,35.017325,-85.313019,,,,,,2
133,1231,"ALTON PK BLVD + SHIPP",,35.018885,-85.312143,,,,,,2
136,1805,"S MARKET + HOWARD SCHOOL OF ACADEMICS AND TECHNOLOGY",,35.026480,-85.310990,,,,,,2
137,1804,"S MARKET + E 25TH",,35.027120,-85.310590,,,,,,2
138,1800,"S MARKET + 19TH",,35.032400,-85.308530,,,,,,2
139,1799,"S MARKET + 17TH",,35.034250,-85.308160,,,,,,2
140,1798,"S MARKET + 16TH",,35.035170,-85.307730,,,,,,2
142,2203,"MARKET + CHOO CHOO",,35.037570,-85.307360,,,,,,2
143,2370,"MARKET + SPS",,35.038243,-85.306887,,,,,,2
144,2205,"Market & DRC1",,35.040609,-85.308066,,,,,,2
145,8,"Market & 12th",,35.042146,-85.308769,,,,,,2
148,1168,"49TH + WILSON",,34.992540,-85.307840,,,,,,2
150,2566,"WILSON + WORKMANS",,34.995670,-85.306220,,,,,,2
151,2008,"WORKMANS + FAGAN",,34.997930,-85.311650,,,,,,2
152,2006,"WORKMANS + DORRIS",,34.998270,-85.312590,,,,,,2
157,2564,"51ST + WILSON",,34.990050,-85.309230,,,,,,2
158,1212,"52ND + WILSON",,34.988740,-85.310130,,,,,,2
161,1208,"52ND + FAGAN",,34.990410,-85.314690,,,,,,2
163,2165,"Market & Patton Towers 0-1",,35.043863,-85.309327,,,,,,2
164,2221,"Market & Miller Pk 0-1",,35.045161,-85.309383,,,,,,2
165,2216,"Market & M.L. King Blv",,35.046130,-85.309330,,,,,,2
166,2186,"Market & 5th-0",,35.051001,-85.309670,,,,,,2
167,3063,"Market & 4th NB",,35.052173,-85.309572,,,,,,2
169,1201,"4th & Lookout-1-0",,35.052174,-85.306613,,,,,,2
170,1198,"4th & High-1-0",,35.052165,-85.305462,,,,,,2
171,1200,"4th & Lindsay-1-0",,35.051890,-85.303250,,,,,,2
172,1199,"4th & Houston-1-0",,35.051360,-85.301840,,,,,,2
173,3062,"4th & Mabel Street",,35.050716,-85.300024,,,,,,2
175,1121,"3rd & Collins-0",,35.049510,-85.294600,,,,,,2
176,1128,"3rd & Hampton-1-0",,35.048247,-85.291967,,,,,,2
177,1153,"3rd & Wiehl-1-0",,35.047720,-85.290660,,,,,,2
178,1118,"3rd & Central-1-0",,35.046870,-85.288390,,,,,,2
179,1145,"3rd & O'Neal-1-0",,35.046404,-85.287098,,,,,,2
180,1149,"3rd & Scruggs-0",,35.045820,-85.285560,,,,,,2
181,1152,"3rd & Warner Park-0",,35.044030,-85.280700,,,,,,2
182,1133,"3rd & Highland Park-0",,35.043075,-85.277992,,,,,,2
183,1135,"3rd & Holly-0",,35.042570,-85.276770,,,,,,2
184,1129,"3rd & Hawthorne-0",,35.041380,-85.273530,,,,,,2
185,2740,"Orchard Knob & Garfield-0",,35.041590,-85.271520,,,,,,2
188,2298,"Orchard Knob & Citico-0",,35.045730,-85.269380,,,,,,2
189,2308,"Orchard Knob & Robbins-0",,35.046680,-85.268870,,,,,,2
190,2304,"Orchard Knob & Milne-0",,35.048310,-85.267970,,,,,,2
191,1758,"Roanoke & Cooley-0",,35.050370,-85.265610,,,,,,2
192,1773,"ROANOKE + WILSON",,35.051990,-85.264730,,,,,,2
193,1772,"Roanoke & Wilcox SE",,35.053600,-85.263870,,,,,,2
194,1756,"Roanoke & Camden-0",,35.055350,-85.262900,,,,,,2
195,1763,"Roanoke & Ocoee-0",,35.056510,-85.262260,,,,,,2
211,1593,"Dodson & Crutchfield 1-0",,35.064160,-85.254470,,,,,,2
212,1597,"Dodson & Daisy 1-0",,35.066090,-85.253410,,,,,,2
213,1587,"Dodson & Appling 1-0",,35.067350,-85.252710,,,,,,2
214,1599,"Dodson & Fairleigh 1-0",,35.068440,-85.252130,,,,,,2
215,1589,"Dodson & Bachman 1-0",,35.069590,-85.251510,,,,,,2
216,1596,"Dodson & Cushman 1-0",,35.070700,-85.250901,,,,,,2
217,2412,"Stuart & Dod-1",,35.071817,-85.250265,,,,,,2
219,2601,"ERLANGER HEALTH CENTER",,35.050547,-85.261868,,,,,,2
221,11,"HIGHWAY 58 + JERSEY PIKE",,35.093335,-85.179873,,,,,,2
222,1890,"Jersey Pike & Goodwill",,35.091190,-85.180710,,,,,,2
223,2028,"Jersey Pike & Oakwood-1",,35.088150,-85.182470,,,,,,2
225,1895,"Highway 58 & Webb Road-1",,35.086322,-85.191790,,,,,,2
226,1274,"BONNY OAKS + ACCESS",,35.080873,-85.213935,,,,,,2
229,1423,"Campbell & Birchwood-1",,35.073500,-85.237990,,,,,,2
231,2415,"STUART + WHEELER",,35.070900,-85.247500,,,,,,2
232,2413,"STUART + TAYLOR",,35.071400,-85.248840,,,,,,2
233,1595,"DODSON + CUSHMAN",,35.070907,-85.250956,,,,,,2
234,1590,"DODSON + BACHMAN",,35.069710,-85.251590,,,,,,2
235,1600,"DODSON + FAIRLEIGH",,35.068550,-85.252210,,,,,,2
236,1588,"DODSON + APPLING",,35.067480,-85.252800,,,,,,2
237,1598,"DODSON + DAISY",,35.065851,-85.253687,,,,,,2
238,1594,"DODSON + CRUTCHFIELD",,35.064340,-85.254510,,,,,,2
253,1766,"ROANOKE + OLIVE",,35.057870,-85.261680,,,,,,2
254,1764,"ROANOKE + OCOEE",,35.056650,-85.262330,,,,,,2
255,1757,"ROANOKE + CAMDEN",,35.055510,-85.262960,,,,,,2
256,1770,"ROANOKE + WILCOX NW",,35.053890,-85.263870,,,,,,2
257,1774,"ROANOKE + WILSON",,35.052230,-85.264780,,,,,,2
258,1762,"ROANOKE + LAURA",,35.051390,-85.265250,,,,,,2
259,1759,"ROANOKE + COOLEY",,35.050590,-85.265690,,,,,,2
260,1768,"ROANOKE + PORTLAND",,35.049780,-85.266140,,,,,,2
262,2305,"OKNOB + MILNE",,35.048520,-85.268050,,,,,,2
263,2297,"OKNOB + CARSON",,35.047190,-85.268780,,,,,,2
264,2299,"OKNOB + CITICO",,35.046020,-85.269410,,,,,,2
265,2303,"OKNOB + JACKSON",,35.044720,-85.270110,,,,,,2
266,2301,"OKNOB + CLEVELAND",,35.043240,-85.270920,,,,,,2
269,1130,"3rd & Hawthorne-1",,35.041440,-85.273230,,,,,,2
270,1136,"3rd & Holly-1",,35.042606,-85.276567,,,,,,2
271,1125,"3rd & Highland Park-1",,35.043210,-85.278068,,,,,,2
272,1138,"3rd & Holtzclaw-1",,35.043823,-85.279778,,,,,,2
274,1150,"3rd & Scruggs-1",,35.045887,-85.285467,,,,,,2
275,1146,"3rd & O'Neal-1",,35.046360,-85.286610,,,,,,2
276,1119,"3rd & Central-1",,35.046905,-85.288153,,,,,,2
277,1154,"3rd & Wiehl-1-0",,35.047770,-85.290476,,,,,,2
278,1127,"3rd & Hampton-1-0",,35.048283,-85.291836,,,,,,2
279,1148,"3rd & Palmetto-1",,35.048743,-85.293085,,,,,,2
280,1122,"3rd & Collins-1",,35.049500,-85.294368,,,,,,2
281,1124,"3rd & CSAS",,35.049959,-85.295519,,,,,,2
282,1142,"3rd & Mabel-1",,35.051347,-85.299509,,,,,,2
283,1139,"3rd & Houston1",,35.052040,-85.301260,,,,,,2
284,1140,"3rd & Lindsay 1",,35.052600,-85.302620,,,,,,2
285,1131,"3rd & High 1",,35.053550,-85.305330,,,,,,2
286,1151,"3rd & Walnut1",,35.053610,-85.307450,,,,,,2
287,1120,"3rd & Cherry1",,35.053590,-85.308540,,,,,,2
288,10,"Stuart & Dodson",,35.071853,-85.250243,,,,,,2
292,1481,"Chamberlain & Cushman-1",,35.069360,-85.246910,,,,,,2
293,1471,"Chamberlain & Boone-1",,35.068270,-85.247520,,,,,,2
294,1485,"Chamberlain & Fairleigh-1",,35.067170,-85.248120,,,,,,2
296,1424,"CAMPBELL + GLASS",,35.067430,-85.243250,,,,,,2
299,1419,"CAMPBELL + BATTERY HEIGHTS",,35.072380,-85.241350,,,,,,2
300,1427,"CAMPBELL + N.Y. AVE",,35.073392,-85.237875,,,,,,2
301,1278,"BONNY OAKS + PARKWAY",,35.073990,-85.234790,,,,,,2
302,1279,"BONNY OAKS + TUGALOO",,35.074535,-85.233204,,,,,,2
306,1889,"HIGHWAY 58 + INWOOD",,35.084704,-85.198712,,,,,,2
307,1893,"HIGHWAY 58 + ROCKY RIVER",,35.085260,-85.194533,,,,,,2
308,1885,"HIGHWAY 58 + BRIARWOOD",,35.085800,-85.192822,,,,,,2
309,1888,"HIGHWAY 58 + HAL DRIVE",,35.086241,-85.191813,,,,,,2
310,1886,"HIGHWAY 58 + FOOD LION",,35.087718,-85.189366,,,,,,2
312,1143,"3RD + OKNOB",,35.040840,-85.272150,,,,,,2
313,1155,"3RD + WILLOW",,35.039850,-85.269390,,,,,,2
314,2545,"WILLOW + 4TH",,35.039070,-85.269750,,,,,,2
315,2547,"WILLOW + 5TH",,35.038310,-85.270130,,,,,,2
316,2553,"WILLOW + IVY",,35.037430,-85.270520,,,,,,2
317,2559,"WILLOW + VINE",,35.036610,-85.270960,,,,,,2
318,2557,"WILLOW + OAK",,35.035780,-85.271420,,,,,,2
319,2551,"WILLOW + DUNCAN",,35.034130,-85.272340,,,,,,2
