trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1009020,4,2,"DOWNTOWN",,1,6302,shp-4-64,1,1
1010070,10A,1,"DOWNTOWN",,1,2407,shp-10A-52,1,1
1022070,14,1,"MOCS EXPRESS",,0,1607,shp-14-51,1,1
1024070,9,1,"EAST LAKE",,0,8907,shp-9-02,1,1
1035070,21,1,"GOLDEN GATEWAY",,0,3407,shp-21-01,1,1
1052020,14,2,"MOCS EXPRESS",,0,1502,shp-14-52,1,1
1053070,33,1,"SHUTTLE PARK SOUTH",,1,4207,shp-33-04,1,2
106020,9,2,"DOWNTOWN",,1,9102,shp-9-52,1,1
1064020,13,2,"ROSSVILLE",,0,1102,shp-13-03,1,1
1076070,4,1,"EASTGATE HAMILTON PL",,0,7107,shp-4-13,1,1
1077010,9,3,"DOWNTOWN",,1,8801,shp-9-51,1,1
1089070,4,1,"EASTGATE HAMILTON PL",,1,6807,shp-4-70,1,1
109020,1,2,"DOWNTOWN",,1,302,shp-1-66,1,1
1095070,14,1,"MOCS EXPRESS DOWNTOWN",,1,1707,shp-14-03,1,1
1110070,33,1,"TREMONT + FRAZIER",,0,4707,shp-33-53,1,2
1122070,10A,1,"AVONDALE UTC",,0,2907,shp-10A-04,1,1
1131020,15,2,"ST. ELMO/INCLINE",,1,2602,shp-15-01,1,2
1133010,33,3,"SHUTTLE PARK SOUTH",,1,5001,shp-33-04,1,2
1141070,33,1,"TREMONT + FRAZIER",,0,4507,shp-33-53,1,2
1156010,34,3,"TREMONT + FRAZIER",,0,5301,shp-34-54,1,2
1161020,33,2,"SHUTTLE PARK SOUTH",,1,5002,shp-33-04,1,2
1168020,16,2,"NORTHGATE",,0,9702,shp-16-06,1,1
1172070,4,1,"EASTGATE HAMILTON PL",,0,7107,shp-4-13,1,1
1177020,14,2,"MOCS EXPRESS",,1,1202,shp-14-04,1,1
1183010,33,3,"TREMONT + FRAZIER",,0,5001,shp-33-53,1,2
1185010,33,3,"SHUTTLE PARK SOUTH",,1,5001,shp-33-04,1,2
1194020,33,2,"SHUTTLE PARK SOUTH",,1,4502,shp-33-04,1,2
120010,10A,3,"DOWNTOWN",,1,201,shp-10A-52,1,1
1202020,4,2,"EASTGATE HAMILTON PL",,1,7102,shp-4-70,1,1
1220020,9,2,"EAST LAKE",,0,9802,shp-9-02,1,1
1223020,21,2,"DOWNTOWN",,1,3402,shp-21-52,1,1
1225020,10C,2,"DOWNTOWN",,1,3102,shp-10C-11,1,1
1242020,21,2,"DOWNTOWN",,1,3602,shp-21-52,1,1
1245010,10G,3,"DOWNTOWN",,1,2101,shp-10G-54,1,1
