time,temperature_2m,rel_humidity,wind_speed_ms,solar_rad_wm2,date,clock_hour,month,month_name
2024-09-01 00:00:00,23.2,98.0,0.75,0.0,2024-09-01,0,9,Sep
2024-09-01 01:00:00,22.8,98.0,0.75,0.0,2024-09-01,1,9,Sep
2024-09-01 02:00:00,22.3,96.0,1.2777777777777777,0.0,2024-09-01,2,9,Sep
2024-09-01 03:00:00,22.2,95.0,1.611111111111111,0.0,2024-09-01,3,9,Sep
2024-09-01 04:00:00,22.5,95.0,1.3055555555555556,0.0,2024-09-01,4,9,Sep
2024-09-01 05:00:00,22.1,94.0,1.4444444444444444,0.0,2024-09-01,5,9,Sep
2024-09-01 06:00:00,22.9,93.0,0.41666666666666663,0.0,2024-09-01,6,9,Sep
2024-09-01 07:00:00,22.0,96.0,0.6388888888888888,0.0,2024-09-01,7,9,Sep
2024-09-01 08:00:00,22.5,98.0,0.7222222222222222,16.0,2024-09-01,8,9,Sep
2024-09-01 09:00:00,23.4,97.0,1.1944444444444444,72.0,2024-09-01,9,9,Sep
2024-09-01 10:00:00,24.8,91.0,1.0833333333333333,222.0,2024-09-01,10,9,Sep
2024-09-01 11:00:00,26.2,81.0,1.3888888888888888,392.0,2024-09-01,11,9,Sep
2024-09-01 12:00:00,26.8,76.0,1.9166666666666667,378.0,2024-09-01,12,9,Sep
2024-09-01 13:00:00,28.1,67.0,1.6666666666666665,557.0,2024-09-01,13,9,Sep
2024-09-01 14:00:00,29.9,57.0,1.3333333333333333,689.0,2024-09-01,14,9,Sep
2024-09-01 15:00:00,30.8,55.0,1.0833333333333333,681.0,2024-09-01,15,9,Sep
2024-09-01 16:00:00,31.1,52.0,1.2777777777777777,549.0,2024-09-01,16,9,Sep
2024-09-01 17:00:00,31.3,50.0,1.7222222222222223,426.0,2024-09-01,17,9,Sep
2024-09-01 18:00:00,25.6,84.0,0.9166666666666666,275.0,2024-09-01,18,9,Sep
2024-09-01 19:00:00,23.2,99.0,1.5555555555555554,116.0,2024-09-01,19,9,Sep
2024-09-01 20:00:00,23.1,99.0,0.6111111111111112,13.0,2024-09-01,20,9,Sep
2024-09-01 21:00:00,22.7,100.0,0.2777777777777778,0.0,2024-09-01,21,9,Sep
2024-09-01 22:00:00,22.5,99.0,0.5833333333333334,0.0,2024-09-01,22,9,Sep
2024-09-01 23:00:00,22.0,98.0,1.4444444444444444,0.0,2024-09-01,23,9,Sep
2024-09-02 00:00:00,21.4,100.0,1.0,0.0,2024-09-02,0,9,Sep
2024-09-02 01:00:00,20.9,99.0,1.1944444444444444,0.0,2024-09-02,1,9,Sep
2024-09-02 02:00:00,20.5,99.0,1.2222222222222223,0.0,2024-09-02,2,9,Sep
2024-09-02 03:00:00,20.0,99.0,1.1666666666666667,0.0,2024-09-02,3,9,Sep
2024-09-02 04:00:00,20.0,99.0,1.1944444444444444,0.0,2024-09-02,4,9,Sep
2024-09-02 05:00:00,19.7,99.0,1.3333333333333333,0.0,2024-09-02,5,9,Sep
2024-09-02 06:00:00,19.6,99.0,1.4444444444444444,0.0,2024-09-02,6,9,Sep
2024-09-02 07:00:00,19.5,99.0,1.5,0.0,2024-09-02,7,9,Sep
2024-09-02 08:00:00,20.4,95.0,2.0,25.0,2024-09-02,8,9,Sep
