feeder_route_short,connector_route_short,feeder_route_long,connector_route_long,n_transfers,total_hei,mean_hei,mean_wait_min,total_wait_min
33,33,Downtown Shuttle,Downtown Shuttle,1323,198081.60725592516,149.72154743456173,6.273469387755101,8299.8
4,14,Eastgate/Hamilton Pl,Mocs Express,873,172890.52465203326,198.04183808938518,8.125334096983583,7093.416666666667
14,4,Mocs Express,Eastgate/Hamilton Pl,887,172222.31855657627,194.16270412240843,7.972003006388576,7071.166666666667
14,14,Mocs Express,Mocs Express,617,108981.16488663894,176.63073725549262,7.270367368989735,4485.816666666667
33,15,Downtown Shuttle,St. Elmo/Incline,316,61966.779281019044,196.09740278803494,8.150632911392405,2575.6
33,4,Downtown Shuttle,Eastgate/Hamilton Pl,313,60729.35834161335,194.0235090786369,8.039669861554845,2516.4166666666665
4,33,Eastgate/Hamilton Pl,Downtown Shuttle,312,60220.15311171223,193.0133112554879,7.990705128205128,2493.1
15,33,St. Elmo/Incline,Downtown Shuttle,316,59788.100531223274,189.20284978235213,7.849367088607595,2480.4
4,4,Eastgate/Hamilton Pl,Eastgate/Hamilton Pl,213,53962.501364710195,253.34507682962533,10.325665101721441,2199.366666666667
4,10G,Eastgate/Hamilton Pl,Glenwood,156,48021.8538792254,307.83239666170124,12.705876068376067,1982.1166666666666
4,1,Eastgate/Hamilton Pl,Alton Park,166,47907.52614548871,288.59955509330547,11.842670682730924,1965.8833333333334
14,10G,Mocs Express,Glenwood,250,47760.16445529097,191.04065782116388,7.845866666666667,1961.4666666666667
10G,14,Glenwood,Mocs Express,242,47507.017424697595,196.3099893582545,8.096487603305786,1959.35
33,2,Downtown Shuttle,North Shore,240,46958.78366713165,195.66159861304854,8.195833333333333,1967.0
9,33,East Lake,Downtown Shuttle,234,45381.10232149857,193.93633470725885,8.128276353276354,1902.0166666666667
4,21,Eastgate/Hamilton Pl,Golden Gateway,204,45238.06404123188,221.75521588839158,9.179820261437909,1872.6833333333334
2,33,North Shore,Downtown Shuttle,240,44841.49158906522,186.83954828777175,7.804166666666666,1873.0
33,9,Downtown Shuttle,East Lake,236,44165.4410023913,187.141699162675,7.84816384180791,1852.1666666666667
1,33,Alton Park,Downtown Shuttle,213,43316.94813897754,203.3659537041199,8.526917057902974,1816.2333333333333
21,33,Golden Gateway,Downtown Shuttle,217,42426.61871663323,195.51437196605175,8.142089093701996,1766.8333333333333
33,21,Downtown Shuttle,Golden Gateway,213,40195.38780766231,188.7107408810437,7.829186228482004,1667.6166666666668
33,1,Downtown Shuttle,Alton Park,209,36827.250144641504,176.20693849110768,7.369059011164275,1540.1333333333334
10C,14,Campbell Street/Highway 58,Mocs Express,166,32253.147089490732,194.29606680416103,8.197690763052208,1360.8166666666666
14,10C,Mocs Express,Campbell Street/Highway 58,162,28655.599171492657,176.88641463884355,7.297427983539095,1182.1833333333334
1,4,Alton Park,Eastgate/Hamilton Pl,217,27523.6432232627,126.8370655449894,5.343394777265745,1159.5166666666667
