rank,f1_min,f1_pct_red,f2_hei,f2_pct_red,knee_score,is_knee,is_min_f1,is_min_f2
0,110943.91,4.319,1195713.07,6.633,1.336873,False,True,False
1,110952.52,4.312,1195494.61,6.65,1.336807,False,False,False
2,110956.79,4.308,1195436.78,6.654,1.336802,False,False,False
3,110958.68,4.306,1195336.49,6.662,1.336759,False,False,False
4,110963.4,4.302,1195252.42,6.668,1.336742,False,False,False
5,110967.52,4.299,1195153.88,6.676,1.336714,False,False,False
6,110971.95,4.295,1195095.68,6.681,1.33671,False,False,False
7,110973.78,4.293,1194972.97,6.69,1.336654,False,False,False
8,110983.41,4.285,1194827.99,6.702,1.336635,False,False,False
9,110989.72,4.28,1194771.22,6.706,1.336643,False,False,False
10,110992.71,4.277,1194660.1,6.715,1.336601,False,False,False
11,110996.47,4.274,1194577.69,6.721,1.336579,False,False,False
12,110999.25,4.271,1194478.69,6.729,1.336542,False,False,False
13,111002.22,4.269,1194446.32,6.731,1.336543,False,False,False
14,111009.93,4.262,1194367.02,6.738,1.336547,False,False,False
15,111010.37,4.262,1194337.42,6.74,1.336534,False,False,False
16,111019.1,4.254,1194151.76,6.754,1.336487,False,False,False
17,111021.56,4.252,1194092.91,6.759,1.33647,False,False,False
18,111024.95,4.249,1194050.58,6.762,1.336468,False,False,False
19,111026.57,4.248,1193990.03,6.767,1.336445,False,False,False
20,111032.37,4.243,1193925.83,6.772,1.336446,False,False,False
21,111035.46,4.24,1193805.26,6.781,1.336399,False,False,False
22,111038.03,4.238,1193716.45,6.788,1.336366,False,False,False
23,111043.05,4.234,1193584.34,6.799,1.336326,False,False,False
24,111043.79,4.233,1193519.15,6.804,1.336295,False,False,False
25,111049.03,4.229,1193504.99,6.805,1.336319,False,False,False
26,111057.92,4.221,1193366.44,6.816,1.336299,False,False,False
27,111060.11,4.219,1193248.59,6.825,1.336248,False,False,False
28,111066.7,4.213,1193227.82,6.827,1.336278,False,False,False
29,111067.21,4.213,1193074.79,6.839,1.336197,False,False,False
30,111068.15,4.212,1193055.27,6.84,1.336193,False,False,False
31,111074.73,4.206,1192973.93,6.846,1.336189,False,False,False
32,111080.17,4.202,1192927.92,6.85,1.336198,False,False,False
33,111087.69,4.195,1192804.39,6.86,1.336177,False,False,False
34,111087.95,4.195,1192765.61,6.863,1.336157,False,False,False
35,111092.33,4.191,1192694.62,6.868,1.336146,False,False,False
36,111099.82,4.185,1192650.38,6.872,1.336168,False,False,False
37,111102.02,4.183,1192538.42,6.88,1.336121,False,False,False
38,111107.57,4.178,1192473.77,6.885,1.33612,False,False,False
39,111112.18,4.174,1192451.83,6.887,1.336136,False,False,False
40,111114.01,4.173,1192354.8,6.895,1.336095,False,False,False
41,111118.07,4.169,1192289.51,6.9,1.336085,False,False,False
42,111120.83,4.167,1192199.9,6.907,1.336053,False,False,False
43,111126.68,4.162,1192127.8,6.912,1.33605,False,False,False
44,111131.95,4.157,1192051.16,6.918,1.336041,False,False,False
45,111134.42,4.155,1191982.85,6.924,1.336019,False,False,False
46,111138.62,4.151,1191920.34,6.929,1.336011,False,False,False
47,111140.18,4.15,1191889.6,6.931,1.336004,False,False,False
48,111145.39,4.145,1191804.34,6.938,1.33599,False,False,False
49,111151.47,4.14,1191735.0,6.943,1.33599,False,False,False
50,111159.79,4.133,1191646.04,6.95,1.335993,False,False,False
51,111163.48,4.13,1191541.97,6.958,1.335959,False,False,False
52,111167.57,4.126,1191513.88,6.96,1.335969,False,False,False
53,111172.18,4.122,1191495.86,6.962,1.335988,False,False,False
54,111172.47,4.122,1191363.9,6.972,1.335918,False,False,False
55,111179.95,4.116,1191294.59,6.978,1.335926,False,False,False
56,111185.55,4.111,1191246.95,6.981,1.335935,False,False,False
57,111194.44,4.103,1191110.14,6.992,1.335916,False,False,False
58,111196.85,4.101,1191041.53,6.997,1.335893,False,False,False
59,111205.27,4.094,1191012.48,7.0,1.33593,False,False,False
60,111209.57,4.09,1190817.98,7.015,1.335851,False,False,False
61,111216.3,4.084,1190785.12,7.017,1.335874,False,False,False
62,111217.05,4.084,1190760.09,7.019,1.335865,False,False,False
63,111225.66,4.076,1190630.07,7.029,1.335848,False,False,False
64,111227.11,4.075,1190596.34,7.032,1.335839,False,False,False
65,111233.89,4.069,1190544.56,7.036,1.335853,False,False,False
66,111235.15,4.068,1190421.16,7.046,1.335793,False,False,False
67,111242.59,4.062,1190381.3,7.049,1.335818,False,False,False
68,111243.91,4.06,1190328.23,7.053,1.335797,False,False,False
69,111251.21,4.054,1190302.77,7.055,1.335828,False,False,False
70,111253.59,4.052,1190151.38,7.067,1.335761,False,False,False
71,111261.49,4.045,1190107.15,7.07,1.335786,False,False,False
72,111268.06,4.04,1189993.16,7.079,1.335765,False,False,False
73,111273.54,4.035,1189952.08,7.082,1.335776,False,False,False
74,111277.65,4.031,1189857.78,7.09,1.335751,False,False,False
75,111281.33,4.028,1189822.09,7.093,1.335754,False,False,False
76,111288.73,4.022,1189668.35,7.105,1.335716,False,False,False
77,111294.87,4.017,1189623.44,7.108,1.33573,False,False,False
78,111297.22,4.014,1189561.2,7.113,1.335711,False,False,False
79,111301.84,4.011,1189531.08,7.115,1.335723,False,False,False
80,111304.72,4.008,1189491.14,7.118,1.335719,False,False,False
81,111308.62,4.005,1189411.31,7.125,1.3357,False,False,False
82,111314.56,4.0,1189291.53,7.134,1.335672,False,False,False
83,111318.17,3.996,1189230.57,7.139,1.335661,False,False,False
84,111322.48,3.993,1189171.94,7.143,1.335656,False,False,False
85,111327.11,3.989,1189101.13,7.149,1.335646,False,False,False
86,111329.36,3.987,1189095.21,7.149,1.335657,False,False,False
87,111334.48,3.982,1189027.91,7.155,1.335652,False,False,False
88,111343.38,3.975,1188955.31,7.16,1.335668,False,False,False
89,111347.4,3.971,1188827.95,7.17,1.335624,False,False,False
90,111352.2,3.967,1188803.03,7.172,1.33564,False,False,False
91,111357.1,3.963,1188743.13,7.177,1.335638,False,False,False
92,111359.03,3.961,1188687.85,7.181,1.33562,False,False,False
93,111366.54,3.955,1188635.98,7.185,1.335638,False,False,False
94,111370.38,3.951,1188597.0,7.188,1.335641,False,False,False
95,111373.03,3.949,1188502.73,7.196,1.335606,False,False,False
96,111383.19,3.94,1188440.68,7.2,1.335636,False,False,False
97,111386.99,3.937,1188321.25,7.21,1.335594,False,False,False
98,111391.82,3.933,1188254.66,7.215,1.335588,False,False,False
99,111397.72,3.928,1188185.68,7.22,1.335587,False,False,False
100,111401.88,3.924,1188114.07,7.226,1.335574,False,False,False
101,111408.41,3.919,1188061.09,7.23,1.335586,False,False,False
102,111414.13,3.914,1187959.16,7.238,1.335566,False,False,False
103,111422.9,3.906,1187825.33,7.248,1.335548,False,False,False
104,111426.72,3.903,1187812.03,7.249,1.335565,False,False,False
105,111431.67,3.899,1187695.02,7.259,1.335532,False,False,False
106,111435.7,3.895,1187652.63,7.262,1.335534,False,False,False
107,111440.77,3.891,1187597.75,7.266,1.335536,False,False,False
108,111443.1,3.889,1187566.24,7.269,1.335533,False,False,False
109,111447.08,3.885,1187519.12,7.272,1.335532,False,False,False
110,111448.92,3.884,1187484.79,7.275,1.335525,False,False,False
111,111455.63,3.878,1187375.24,7.284,1.335507,False,False,False
112,111461.16,3.873,1187327.61,7.287,1.335516,False,False,False
113,111465.32,3.87,1187276.75,7.291,1.335514,False,False,False
114,111472.46,3.863,1187239.94,7.294,1.335538,False,False,False
115,111476.26,3.86,1187145.48,7.302,1.335511,False,False,False
116,111480.85,3.856,1187087.15,7.306,1.335508,False,False,False
117,111484.38,3.853,1186990.41,7.314,1.335477,False,False,False
118,111496.44,3.843,1186915.41,7.319,1.335511,False,False,False
119,111501.04,3.839,1186825.86,7.326,1.335491,False,False,False
120,111503.68,3.836,1186743.12,7.333,1.335463,False,False,False
121,111511.94,3.829,1186697.15,7.337,1.335489,False,False,False
122,111514.63,3.827,1186597.36,7.344,1.335452,False,False,False
123,111520.03,3.822,1186567.28,7.347,1.335469,False,False,False
124,111525.53,3.818,1186561.75,7.347,1.3355,False,False,False
125,111531.38,3.813,1186494.73,7.352,1.335501,False,False,False
126,111535.97,3.809,1186455.69,7.355,1.335508,False,False,False
127,111540.48,3.805,1186401.7,7.36,1.335507,False,False,False
128,111545.41,3.8,1186290.38,7.368,1.335477,False,False,False
129,111551.6,3.795,1186276.59,7.369,1.335508,False,False,False
130,111552.89,3.794,1186173.69,7.377,1.33546,False,False,False
131,111561.44,3.787,1186068.46,7.386,1.335456,False,False,False
132,111565.17,3.783,1186064.23,7.386,1.335477,False,False,False
133,111572.16,3.777,1185980.65,7.392,1.335475,False,False,False
134,111580.21,3.77,1185938.89,7.396,1.335503,False,False,False
135,111581.58,3.769,1185867.85,7.401,1.335473,False,False,False
136,111588.76,3.763,1185750.61,7.41,1.335454,False,False,False
137,111596.28,3.757,1185663.39,7.417,1.335454,False,False,False
138,111602.34,3.751,1185563.19,7.425,1.335437,False,False,False
139,111607.5,3.747,1185504.46,7.43,1.335437,False,False,False
140,111613.14,3.742,1185496.52,7.43,1.335468,False,False,False
141,111616.95,3.739,1185380.01,7.439,1.335429,True,False,False
142,111624.14,3.733,1185368.54,7.44,1.335467,False,False,False
143,111627.17,3.73,1185279.81,7.447,1.335438,False,False,False
144,111632.82,3.725,1185217.49,7.452,1.335439,False,False,False
145,111641.19,3.718,1185173.33,7.456,1.335468,False,False,False
146,111648.01,3.712,1185164.18,7.456,1.335505,False,False,False
147,111650.76,3.71,1185085.41,7.462,1.335479,False,False,False
148,111656.49,3.705,1184979.52,7.471,1.335458,False,False,False
149,111663.07,3.699,1184919.31,7.475,1.335466,False,False,False
150,111667.46,3.695,1184889.74,7.478,1.335477,False,False,False
151,111675.0,3.689,1184752.62,7.488,1.33545,False,False,False
152,111680.2,3.684,1184701.47,7.492,1.335455,False,False,False
153,111689.1,3.677,1184688.6,7.493,1.335503,False,False,False
154,111690.2,3.676,1184632.99,7.498,1.33548,False,False,False
155,111690.91,3.675,1184548.24,7.504,1.335439,False,False,False
156,111699.66,3.667,1184536.14,7.505,1.335486,False,False,False
157,111701.39,3.666,1184529.69,7.506,1.335494,False,False,False
158,111705.28,3.663,1184438.35,7.513,1.335469,False,False,False
159,111708.76,3.66,1184398.29,7.516,1.335469,False,False,False
160,111715.41,3.654,1184346.33,7.52,1.335482,False,False,False
161,111724.12,3.646,1184322.71,7.522,1.335523,False,False,False
162,111727.15,3.644,1184322.35,7.522,1.335542,False,False,False
163,111728.57,3.642,1184220.76,7.53,1.335496,False,False,False
164,111732.12,3.639,1184186.26,7.533,1.335499,False,False,False
165,111735.09,3.637,1184125.2,7.537,1.335485,False,False,False
166,111747.81,3.626,1184044.24,7.544,1.33552,False,False,False
167,111755.33,3.619,1184013.3,7.546,1.33555,False,False,False
168,111759.72,3.616,1183924.59,7.553,1.33553,False,False,False
169,111762.62,3.613,1183814.71,7.562,1.335488,False,False,False
170,111768.56,3.608,1183733.16,7.568,1.335481,False,False,False
171,111775.51,3.602,1183712.87,7.57,1.335513,False,False,False
172,111781.54,3.597,1183650.46,7.574,1.335517,False,False,False
173,111788.19,3.591,1183621.51,7.577,1.335543,False,False,False
174,111790.42,3.589,1183481.51,7.588,1.335481,False,False,False
175,111802.54,3.579,1183468.4,7.589,1.33555,False,False,False
176,111807.32,3.575,1183414.44,7.593,1.33555,False,False,False
177,111809.3,3.573,1183402.69,7.594,1.335556,False,False,False
178,111816.03,3.567,1183343.62,7.598,1.335566,False,False,False
179,111820.01,3.564,1183177.03,7.611,1.335501,False,False,False
180,111824.8,3.56,1183145.58,7.614,1.335514,False,False,False
181,111828.25,3.557,1183103.16,7.617,1.335512,False,False,False
182,111842.27,3.544,1183087.61,7.618,1.335591,False,False,False
183,111854.27,3.534,1183011.53,7.624,1.335625,False,False,False
184,111858.06,3.531,1182949.76,7.629,1.335615,False,False,False
185,111861.55,3.528,1182895.03,7.633,1.335607,False,False,False
186,111863.66,3.526,1182841.46,7.638,1.335592,False,False,False
187,111872.36,3.518,1182791.59,7.641,1.335619,False,False,False
188,111874.35,3.517,1182728.78,7.646,1.335597,False,False,False
189,111877.19,3.514,1182677.61,7.65,1.335587,False,False,False
190,111889.61,3.504,1182673.86,7.651,1.335663,False,False,False
191,111892.03,3.502,1182550.15,7.66,1.335611,False,False,False
192,111894.94,3.499,1182529.18,7.662,1.335618,False,False,False
193,111900.63,3.494,1182466.92,7.667,1.33562,False,False,False
