stop_id,stop_name,stop_lat,stop_lon,is_sheltered,n_transfers,total_hei,mean_hei,mean_wait_min,mean_wbgt
278,3rd & Hampton-1-0,35.048,-85.292,False,1141,210430.515,184.426,7.6,24.26
742,Market & TVA 0,35.043,-85.309,False,857,164283.291,191.696,7.955,24.092
163,Market & Patton Towers 0-1,35.044,-85.309,False,622,120529.281,193.777,8.091,23.959
1565,Shuttle Park North,35.054,-85.311,False,592,113111.436,191.067,8.0,23.888
1555,Market & 6th-1-0,35.049,-85.31,False,564,111562.203,197.805,8.253,23.955
179,3rd & O'Neal-1-0,35.046,-85.287,False,586,111342.879,190.005,7.821,24.282
144,Market & DRC1,35.041,-85.308,False,517,99160.052,191.799,8.014,23.938
178,3rd & Central-1-0,35.047,-85.288,False,453,86293.021,190.492,7.854,24.255
177,3rd & Wiehl-1-0,35.048,-85.291,False,442,83908.662,189.839,7.844,24.191
2599,11tn & Broad,35.044,-85.31,False,501,78265.502,156.219,6.522,23.929
1538,Carter & Hotel Bo,35.045,-85.312,False,503,77883.442,154.838,6.466,23.922
1539,10th & Library 0,35.045,-85.311,False,501,77490.87,154.672,6.459,23.92
2057,Market & King,35.04,-85.308,False,375,72238.122,192.635,8.06,23.905
277,3rd & Wiehl-1-0,35.048,-85.29,False,360,70026.33,194.518,7.993,24.334
413,McCallie Ave & Houston-1-0,35.047,-85.304,False,285,55617.821,195.15,8.026,24.33
488,Broad & 7th Street,35.049,-85.31,False,267,51555.738,193.093,8.029,24.056
2063,Market & 4th 0,35.052,-85.31,False,150,51028.772,340.192,13.9,24.47
412,McCallie Ave & Frist Hall,35.046,-85.303,False,244,47754.013,195.713,8.037,24.366
995,McCallie Ave & Palmetto-1-0,35.044,-85.296,False,236,46156.414,195.578,8.029,24.354
408,McCallie Ave & Campus Dr-1-0,35.045,-85.299,False,235,46121.647,196.262,8.054,24.371
409,McCallie Ave & Douglas-1-0,35.046,-85.302,False,234,46104.91,197.03,8.082,24.385
17,Market & 11th 0,35.044,-85.309,False,217,41192.104,189.825,7.833,24.189
19,Market & Cowart 0,35.041,-85.308,False,214,40714.214,190.253,7.962,23.898
2071,Market & epb 0,35.045,-85.309,False,188,36434.446,193.8,8.061,24.008
789,Broad & 4th DTS stop,35.052,-85.311,False,186,35954.786,193.305,8.0,24.164
164,Market & Miller Pk 0-1,35.045,-85.309,False,182,33006.605,181.355,7.548,24.048
165,Market & M.L. King Blv,35.046,-85.309,False,175,31289.456,178.797,7.443,24.054
1560,Market & Warehouse Row 0-1,35.043,-85.309,False,137,25724.956,187.773,7.937,23.636
283,3rd & Houston1,35.052,-85.301,False,130,23822.88,183.253,7.817,23.565
176,3rd & Hampton-1-0,35.048,-85.292,False,129,23131.028,179.31,7.401,24.175
