gen,n_feas,f1_best,f2_best,elapsed,f1_pct,f2_pct
75,51,118595.32652314538,1287689.1094448566,22.6868527000006,102.28,100.549
100,200,115501.31122231403,1247585.0928081092,30.11193640000056,99.611,97.418
125,200,113400.74874350196,1218243.291897369,37.71007930000087,97.8,95.127
150,200,112308.96029446968,1204309.259757118,45.45922170000085,96.858,94.039
175,200,111754.99431845736,1196246.8328467468,52.836950900000375,96.38,93.409
200,200,111450.48836870906,1190728.3544856082,60.26269160000084,96.118,92.978
225,200,111270.2993415709,1187335.4334138953,67.76069510000161,95.962,92.713
250,200,111175.89156037068,1185839.5027397317,75.51776419999987,95.881,92.597
275,200,111108.62080637908,1184919.4265816023,82.92608500000097,95.823,92.525
300,200,111045.35785759796,1184259.553920554,90.28892600000108,95.768,92.473
325,200,111018.7534631799,1183569.4650630727,97.77084020000076,95.745,92.419
350,200,110994.21718538745,1183219.5384896265,105.73219659999997,95.724,92.392
375,200,110992.81744713236,1182977.7658701146,113.1252142000012,95.723,92.373
400,200,110989.4219945328,1182842.556757809,120.4925815000006,95.72,92.362
425,200,110975.20960306628,1182561.5394244497,127.76446700000088,95.708,92.341
450,200,110962.53409162286,1182405.6734787272,135.4242215000013,95.697,92.328
475,200,110954.98579818694,1182375.0978594727,142.99087529999997,95.69,92.326
500,200,110943.9060774446,1182062.8925158875,150.51258190000044,95.681,92.302
