transfer_id,stop_id,stop_name,is_sheltered,shade_factor,feeder_route_short,connector_route_short,transfer_clock_hour,wait_min,wbgt_mean,wbgt_p90,hei_mean,hei_p90,freq_proxy,hei_weighted_mean
13498,2063,Market & 4th 0,False,1.0,4,4,14,15.0,25.218550929893695,27.483984781660876,378.2782639484054,412.25977172491315,0.3896551724137931,147.39808215920624
13499,2063,Market & 4th 0,False,1.0,4,4,14,15.0,25.218550929893695,27.483984781660876,378.2782639484054,412.25977172491315,0.3896551724137931,147.39808215920624
13500,2063,Market & 4th 0,False,1.0,1,4,14,15.0,25.218550929893695,27.483984781660876,378.2782639484054,412.25977172491315,0.22758620689655173,86.0909152434302
13501,2063,Market & 4th 0,False,1.0,1,4,14,15.0,25.218550929893695,27.483984781660876,378.2782639484054,412.25977172491315,0.22758620689655173,86.0909152434302
550,143,MARKET + SPS,False,1.0,15,2,14,15.0,25.214757325870263,27.487053522368768,378.22135988805394,412.3058028355315,0.13793103448275862,52.168463432835026
552,143,MARKET + SPS,False,1.0,15,2,14,15.0,25.214757325870263,27.487053522368768,378.22135988805394,412.3058028355315,0.13793103448275862,52.168463432835026
12774,2011,S Market & 12th,False,1.0,21,16,14,15.0,25.214757325870263,27.487053522368768,378.22135988805394,412.3058028355315,0.21379310344827587,80.86111832089429
13502,2063,Market & 4th 0,False,1.0,4,4,14,15.0,25.207170117823402,27.493191003784553,378.107551767351,412.3978650567683,0.3896551724137931,147.33156327486438
13503,2063,Market & 4th 0,False,1.0,4,1,14,15.0,25.207170117823402,27.493191003784553,378.107551767351,412.3978650567683,0.3896551724137931,147.33156327486438
13504,2063,Market & 4th 0,False,1.0,4,4,14,15.0,25.207170117823402,27.493191003784553,378.107551767351,412.3978650567683,0.3896551724137931,147.33156327486438
13505,2063,Market & 4th 0,False,1.0,4,1,14,15.0,25.207170117823402,27.493191003784553,378.107551767351,412.3978650567683,0.3896551724137931,147.33156327486438
11580,1555,Market & 6th-1-0,False,1.0,13,21,14,15.0,25.203376513799974,27.49625974449245,378.0506477069996,412.4438961673867,0.12413793103448276,46.93042523259305
11583,1555,Market & 6th-1-0,False,1.0,9,21,14,15.0,25.203376513799974,27.49625974449245,378.0506477069996,412.4438961673867,0.18620689655172415,70.39563784888958
11586,1555,Market & 6th-1-0,False,1.0,16,21,14,15.0,25.203376513799974,27.49625974449245,378.0506477069996,412.4438961673867,0.18620689655172415,70.39563784888958
11589,1555,Market & 6th-1-0,False,1.0,13,21,14,15.0,25.203376513799974,27.49625974449245,378.0506477069996,412.4438961673867,0.12413793103448276,46.93042523259305
12304,1565,Shuttle Park North,False,1.0,2,33,14,15.0,25.19578930575311,27.502397225908233,377.9368395862966,412.5359583886235,0.15172413793103448,57.342141178610525
12305,1565,Shuttle Park North,False,1.0,2,33,14,15.0,25.19578930575311,27.502397225908233,377.9368395862966,412.5359583886235,0.15172413793103448,57.342141178610525
12308,1565,Shuttle Park North,False,1.0,2,33,14,15.0,25.19578930575311,27.502397225908233,377.9368395862966,412.5359583886235,0.15172413793103448,57.342141178610525
12309,1565,Shuttle Park North,False,1.0,2,33,14,15.0,25.19578930575311,27.502397225908233,377.9368395862966,412.5359583886235,0.15172413793103448,57.342141178610525
13506,2063,Market & 4th 0,False,1.0,4,4,14,15.0,25.19578930575311,27.502397225908233,377.9368395862966,412.5359583886235,0.3896551724137931,147.2650443905225
13509,2063,Market & 4th 0,False,1.0,1,4,14,15.0,25.19578930575311,27.502397225908233,377.9368395862966,412.5359583886235,0.22758620689655173,86.01321176791579
14102,2092,Sholar & CARTA 0,False,1.0,4,3,14,15.0,25.191236980924995,27.506079714757703,377.8685547138749,412.5911957213656,0.3896551724137931,147.23843683678575
6149,283,3rd & Houston1,False,1.0,4,3,14,15.0,25.185812127171488,27.51046801396999,377.7871819075723,412.65702020954984,0.3896551724137931,147.2067295019161
6714,408,McCallie Ave & Campus Dr-1-0,False,1.0,14,4,14,14.983333333333333,25.212506454149697,27.488874308522117,377.7673883713429,411.8749667226897,1.0,377.7673883713429
12313,1565,Shuttle Park North,False,1.0,33,2,14,15.0,25.18440849368282,27.511603448031913,377.7661274052423,412.6740517204787,0.8344827586206897,315.2393201105815
12314,1565,Shuttle Park North,False,1.0,33,2,14,15.0,25.18440849368282,27.511603448031913,377.7661274052423,412.6740517204787,0.8344827586206897,315.2393201105815
12316,1565,Shuttle Park North,False,1.0,33,2,14,15.0,25.18440849368282,27.511603448031913,377.7661274052423,412.6740517204787,0.8344827586206897,315.2393201105815
12317,1565,Shuttle Park North,False,1.0,33,2,14,15.0,25.18440849368282,27.511603448031913,377.7661274052423,412.6740517204787,0.8344827586206897,315.2393201105815
13512,2063,Market & 4th 0,False,1.0,4,1,14,15.0,25.18440849368282,27.511603448031913,377.7661274052423,412.6740517204787,0.3896551724137931,147.19852550618063
7945,690,Sholar & CARTA 1,False,1.0,4,9,14,15.0,25.17682128563596,27.517740929447697,377.6523192845394,412.76611394171545,0.3896551724137931,147.15417958328604
